conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.7553064433419924e+18,Wed Feb 07 23:33:43 +0000 2024,17.0,@ibamhariri @aniesbaswedan @ganjarpranowo @cakimiNOW @mohmahfudmd untuk pak anies ada di sini mas https://t.co/bMltpr2ji1,1.755374308891992e+18,,ibamhariri,in,,0.0,1.0,1.0,https://twitter.com/imaginavers/status/1755374308891992129,1.1491027648462766e+18,imaginavers,
1.755243172396233e+18,Wed Feb 07 23:33:08 +0000 2024,24.0,@ippank1989 @arman_dhani Anies direshuffle kalo Prabowo baru dipecat. https://t.co/u9Nf7IWshb,1.755374161860723e+18,https://pbs.twimg.com/media/GFxXfTTaQAAuD1f.jpg,ippank1989,in,,1.0,2.0,1.0,https://twitter.com/herpurethoughts/status/1755374161860723027,1.401175578162516e+18,herpurethoughts,
1.755252906729837e+18,Wed Feb 07 23:32:17 +0000 2024,28.0,@GeiszChalifah Pak Anies gak akan rugi kalau gagal jadi Presiden justru masyarakat yg rugi banget. Kesempatan muncul capres macem beliau ini bakal langka banget. Trust me!,1.755373948177625e+18,,GeiszChalifah,in,,0.0,0.0,0.0,https://twitter.com/aanton_ak/status/1755373948177625091,2388169026.0,aanton_ak,
1.7552409211706493e+18,Wed Feb 07 23:30:53 +0000 2024,15.0,@Ndons_Back @bengkeldodo @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @AditBandit234 @alextham878 @Lembayung071 @jatmiko99604253 Nggak luwes terkesan dipaksakan beda banget dengan 01. Pak Anies itu lebih ikhlas memeluk dengan suasana hati yg welas kasih sehingga yg melihat juga terharu. Kalau yg ini kebanyakan gimmick dan pencitraan,1.75537359581839e+18,,Ndons_Back,in,,0.0,9.0,3.0,https://twitter.com/Pakiwan740418/status/1755373595818389960,1.4988849862119997e+18,Pakiwan740418,
1.7553735427856468e+18,Wed Feb 07 23:30:40 +0000 2024,281.0,Di tanya bung David soal Revolusi Mental program dr pak jokowi apakah berhasil atau gagal?? di acara Desak Anies Semarang. Ini jawaban Abah...Nampol!! #AMINAjaDulu ️ https://t.co/AFR21hEwrZ,1.7553735427856468e+18,https://pbs.twimg.com/ext_tw_video_thumb/1755373221191561216/pu/img/QMHhtbTAILrV3lHv.jpg,,in,,3.0,3.0,93.0,https://twitter.com/Malika6027/status/1755373542785646871,1.603593688005116e+18,Malika6027,
1.7552453831173123e+18,Wed Feb 07 23:24:45 +0000 2024,1603.0,@chitattooes Nambahin cerita sedikit pak anies kalo lg sakit dan berobat ke RSCM kencana bakal ikut ngantri kaya pasien lain sendirian ga bawa ajudan. Beda bgt sm pejabat pejabat yg biasanya ,1.7553720516392678e+18,,chitattooes,in,,14.0,9.0,212.0,https://twitter.com/mairanabia/status/1755372051639267746,1.739142277250093e+18,mairanabia,
1.7553718758642813e+18,Wed Feb 07 23:24:04 +0000 2024,11.0,Malah aksi itu dihadiri oleh presiden sekarang dan paslon 02. Kalo benaran begini alurnya hebat bgt Pak Anies tahan difitnah 7 tahun lamanya utk sesuatu yg gk pernah dia perbuat. Dan oke jga Pak Ahok nahan sampe nunggu waktu yg tepat utk bongkar semuanya. Di menit terakhir lagi,1.7553718824745702e+18,,yshmne___,in,,0.0,0.0,1.0,https://twitter.com/yshmne___/status/1755371882474570223,1.2319746185016484e+18,yshmne___,
1.755271198773252e+18,Wed Feb 07 22:13:12 +0000 2024,184.0,@newjneans @aniesbaswedan Dengerin duet Pak Anies n Pak Ahok sebagai hukuman untuk koruptor,1.7553540456893235e+18,,newjneans,in,,1.0,3.0,6.0,https://twitter.com/sukakomenaja/status/1755354045689323611,1.723292772076335e+18,sukakomenaja,
1.7552453831173123e+18,Wed Feb 07 22:11:17 +0000 2024,1040.0,@Piecemaker777 @chitattooes Karena beliaulah aku melek politik udah beberapa kali ikut pemilu kek bodo amat siapa yg menang yg penting bisa makan tapi tahun ini gue benar benar melek politik dan sedalam ini aku mencari tahu info pak anies banyakan nangis mulu gue. Gue mau mendukung secara ugal ugalan,1.75535356634751e+18,,Piecemaker777,in,,6.0,7.0,120.0,https://twitter.com/SriSulastini3/status/1755353566347509928,1.2111798787682304e+18,SriSulastini3,
1.755352857157788e+18,Wed Feb 07 22:08:28 +0000 2024,57.0,Selevel pak JK mereka intimidasi.... Mengapa mereka takut Anies Baswedan? Yuk komen dgn cerdas... https://t.co/HsDgisAGNT,1.755352857157788e+18,https://pbs.twimg.com/ext_tw_video_thumb/1755352785670070273/pu/img/lpjVlZa12eNNxdNW.jpg,,in,DKI Jakarta, Indonesia🇲🇨,0.0,9.0,22.0,https://twitter.com/ommi_siregar/status/1755352857157788022,1.4297876314962207e+18,ommi_siregar,
